jar,bytes,status,namespaces,namespace_count,has_en_us,has_ko_kr,classification,error
cristellib-neoforge-1.21.1-3.1.7.jar,583525,ok,cristellib,1,True,False,en_only,
cryonicconfig-neoforge-1.0.0+mc1.21.11.jar,133851,ok,,0,False,False,no_target_language_file,
crystalix-3.0.0.jar,817004,ok,crystalix,1,True,False,en_only,
CTM-1.21-1.2.1+3.jar,240791,ok,ctm,1,True,False,en_only,
Cucumber-1.21.1-8.0.16.jar,275588,ok,cucumber,1,True,True,en_and_ko,
cupboard-1.21.1-3.8.jar,28741,ok,,0,False,False,no_target_language_file,
curios-neoforge-9.5.1+1.21.1.jar,410690,ok,curios,1,True,True,en_and_ko,
cyclopscore-1.21.1-neoforge-1.29.1.jar,1158134,ok,cyclopscore,1,True,True,en_and_ko,
darkmodeeverywhere-1.21-1.3.5.jar,31210,ok,darkmodeeverywhere,1,True,False,en_only,
deeperdarker-neoforge-1.21.1-1.4.1.jar,3906057,ok,deeperdarker,1,True,True,en_and_ko,
deimos-1.21.1-neoforge-2.7.jar,49576,ok,,0,False,False,no_target_language_file,
DimStorage-1.21.1-9.1.1.jar,179454,ok,dimstorage,1,True,True,en_and_ko,
disenchanting_table-merged-1.21.1-5.0.2.jar,306197,ok,disenchanting_table,1,True,False,en_only,
domum-ornamentum-1.0.234-snapshot-main.jar,1151596,ok,domum_ornamentum,1,True,False,en_only,
Draconic-Evolution-1.21.1-3.1.4.632.jar,6045942,ok,draconicevolution,1,True,False,en_only,
drippyloadingscreen_neoforge_3.1.2_MC_1.21.1.jar,174055,ok,drippyloadingscreen,1,True,False,en_only,
dummmmmmy-1.21-2.0.12-neoforge.jar,219158,ok,dummmmmmy,1,True,True,en_and_ko,
DungeonCrawl-NeoForge-1.21-2.3.17.jar,738480,ok,,0,False,False,no_target_language_file,
DungeonsArise-1.21.1-2.1.68-release.jar,11842679,ok,dungeons_arise,1,True,False,en_only,
dyenamics-1.21.1-3.4.2.jar,1198641,ok,dyenamics,1,True,False,en_only,
dyenamicsandfriends-1.21.1-2.2.2.jar,8361784,ok,dyenamicsandfriends,1,True,False,en_only,
dysoncubeproject-1.0.5.jar,538975,ok,dysoncubeproject,1,True,False,en_only,
easy-villagers-neoforge-1.21.1-1.1.42.jar,456700,ok,easy_villagers,1,True,True,en_and_ko,
EdivadLib-1.21-3.0.0.jar,14133,ok,,0,False,False,no_target_language_file,
elevatorid-neoforge-1.21.1-1.11.4.jar,191190,ok,elevatorid,1,True,True,en_and_ko,
enchdesc-neoforge-1.21.1-21.1.10.jar,82629,ok,enchdesc,1,True,True,en_and_ko,
enderdrives-neoforge-1.21.1-1.4.4.jar,317025,ok,enderdrives,1,True,False,en_only,
enderio-8.2.11-beta.jar,6592813,ok,enderio,1,True,True,en_and_ko,
endermanoverhaul-neoforge-1.21.1-2.0.3.jar,1330403,ok,endermanoverhaul,1,True,False,en_only,
EnderStorage-1.21.1-2.13.0.191.jar,264089,ok,enderstorage,1,True,True,en_and_ko,
energymeter-neoforge-1.21.1-0.4.1.jar,394466,ok,energymeter,1,True,False,en_only,
entangled-1.3.21-neoforge-mc1.21.jar,130872,ok,entangled,1,True,True,en_and_ko,
eternalstarlight-0.8.1+1.21.1+neoforge.jar,57350115,ok,eternal_starlight,1,True,False,en_only,
EuphoriaPatcher-1.9.3-r5.8.1-neoforge.jar,4210708,ok,,0,False,False,no_target_language_file,
everythingcopper-1.21.1-2.4.5.jar,620493,ok,everythingcopper,1,True,False,en_only,
evilcraft-1.21.1-neoforge-1.2.89.jar,2834828,ok,evilcraft;evilcraftcompat,2,True,True,en_and_ko,
expandedae-2.1.1.jar,496713,ok,expandedae,1,True,False,en_only,
experiencelib-1.21.1-1.2.1.jar,169856,ok,,0,False,False,no_target_language_file,
ExplorersCompass-1.21.1-3.4.0-neoforge.jar,174668,ok,explorerscompass,1,True,False,en_only,
Explorify v1.6.5.mod.jar,767884,ok,,0,False,False,no_target_language_file,
extended-industrialization-1.15.42-1.21.1.jar,2096981,ok,extended_industrialization,1,True,False,en_only,
ExtendedAE-1.21-2.2.33-neoforge.jar,5573972,ok,extendedae,1,True,True,en_and_ko,
ExtraDisks-1.21.1-4.0.15.jar,343628,ok,extradisks,1,True,True,en_and_ko,
ExtraStorage-1.21.1-5.0.9.jar,408712,ok,extrastorage,1,True,True,en_and_ko,
ExtremeReactors2-1.21.1-2.4.28.jar,2554779,ok,bigreactors,1,True,False,en_only,
ExtremeSoundMuffler-3.56_NeoForge-1.21.jar,270115,ok,extremesoundmuffler,1,True,False,en_only,
factory_blocks-neoforge-1.4.0+mc1.21.1.jar,809234,ok,factory_blocks,1,True,False,en_only,
fancymenu_neoforge_3.9.1_MC_1.21.1.jar,25346355,ok,fancymenu,1,True,True,en_and_ko,
