jar,namespace,en_path,ko_path,en_status,ko_status,en_keys,ko_keys,shared_keys,missing_in_ko,ko_only_keys,error
polylib-2100.1.0-build.183-neoforge.jar,polylib,assets/polylib/lang/en_us.json,,ok,missing,13,0,0,13,0,
polymorph-neoforge-1.1.0+1.21.1.jar,polymorph,assets/polymorph/lang/en_us.json,assets/polymorph/lang/ko_kr.json,ok,ok,3,2,2,1,0,
potionsmaster-21.1.113-1.0.1.jar,potionsmaster,assets/potionsmaster/lang/en_us.json,,ok,missing,15,0,0,15,0,
Powah-6.2.10.jar,lollipop,assets/lollipop/lang/en_us.json,,ok,missing,50,0,0,50,0,
Powah-6.2.10.jar,powah,assets/powah/lang/en_us.json,,ok,missing,190,0,0,190,0,
productivebees-1.21.1-13.13.5.jar,productivebees,assets/productivebees/lang/en_us.json,,ok,missing,1118,0,0,1118,0,
productivemetalworks-1.21.1-1.15.1.jar,productivemetalworks,assets/productivemetalworks/lang/en_us.json,,ok,missing,376,0,0,376,0,
productivetrees-1.21.1-1.1.0.jar,productivetrees,assets/productivetrees/lang/en_us.json,,ok,missing,4149,0,0,4149,0,
pylons-1.21.1-5.4.2.jar,pylons,assets/pylons/lang/en_us.json,,ok,missing,94,0,0,94,0,
railcraft-reborn-1.21.1-1.2.10.jar,railcraft,assets/railcraft/lang/en_us.json,assets/railcraft/lang/ko_kr.json,ok,ok,1075,6,6,1069,0,
Rainbows-1.21-1.5.jar,rainbows,assets/rainbows/lang/en_us.json,,ok,missing,1,0,0,1,0,
rangedpumps-1.3.0.jar,rangedpumps,assets/rangedpumps/lang/en_us.json,assets/rangedpumps/lang/ko_kr.json,ok,ok,9,9,9,0,0,
rechiseled-1.2.5-neoforge-mc1.21.jar,rechiseled,assets/rechiseled/lang/en_us.json,,ok,missing,3656,0,0,3656,0,
rechiseled_chipped-2.0-1.21.1.jar,rechiseled_chipped,assets/rechiseled_chipped/lang/en_us.json,,ok,missing,0,0,0,0,0,
rechiseledcreate-1.1.1-neoforge-mc1.21.jar,rechiseledcreate,assets/rechiseledcreate/lang/en_us.json,,ok,missing,243,0,0,243,0,
redstonepen-1.21-neoforge-1.11.42.jar,redstonepen,assets/redstonepen/lang/en_us.json,,ok,missing,72,0,0,72,0,
refined-types-1.21.1-0.3.2.jar,refinedtypes,assets/refinedtypes/lang/en_us.json,,ok,missing,164,0,0,164,0,
refinedstorage-curios-integration-1.0.0.jar,refinedstorage_curios_integration,assets/refinedstorage_curios_integration/lang/en_us.json,,ok,missing,1,0,0,1,0,
refinedstorage-jei-integration-neoforge-1.0.0.jar,refinedstorage_jei_integration,assets/refinedstorage_jei_integration/lang/en_us.json,assets/refinedstorage_jei_integration/lang/ko_kr.json,ok,ok,10,10,10,0,0,
refinedstorage-mekanism-integration-1.1.1.jar,refinedstorage_mekanism_integration,assets/refinedstorage_mekanism_integration/lang/en_us.json,assets/refinedstorage_mekanism_integration/lang/ko_kr.json,ok,ok,37,37,37,0,0,
refinedstorage-neoforge-2.0.9.jar,refinedstorage,assets/refinedstorage/lang/en_us.json,assets/refinedstorage/lang/ko_kr.json,ok,ok,788,778,778,10,0,
refinedstorage-quartz-arsenal-neoforge-1.0.8.jar,refinedstorage_quartz_arsenal,assets/refinedstorage_quartz_arsenal/lang/en_us.json,assets/refinedstorage_quartz_arsenal/lang/ko_kr.json,ok,ok,22,22,22,0,0,
refurbished_furniture-neoforge-1.21.1-1.0.22.jar,refurbished_furniture,assets/refurbished_furniture/lang/en_us.json,,ok,missing,654,0,0,654,0,
